id,questionnaireId,text,options,correctAnswer,explanation,temaCodigo,temaNumero,temaParte,temaTitulo,difficulty,createdAt,updatedAt,aiReviewed,aiReviewedAt
cmk6pkd2r0000kn68alb813l4,cmjyrfy3a000gkno4nik6rcpf,¿Qué tipo de prestación de la Seguridad Social se concede a los trabajadores que sufren una lesión o enfermedad profesional?,"[""Prestación por incapacidad temporal"",""Prestación por incapacidad permanente"",""Prestación por jubilación"",""Prestación por desempleo""]",B,La prestación por incapacidad permanente es una de las prestaciones de la Seguridad Social que se concede a los trabajadores que sufren una lesión o enfermedad profesional y no pueden continuar trabajando.,E1,1,ESPECÍFICO,La Seguridad Social en la Constitución,facil,2026-01-09 10:03:14.354,2026-01-09 10:03:14.354,f,
cmk6pkd2t0001kn68flinyknp,cmjyrfy3a000gkno4nik6rcpf,¿Cuál es el objetivo de la colaboración entre las Mutuas de Accidentes de Trabajo y Enfermedades Profesionales y la Seguridad Social?,"[""Reducir la siniestralidad laboral"",""Mejorar la asistencia sanitaria"",""Gestionar las prestaciones contributivas"",""Proporcionar formación a los trabajadores""]",A,"El objetivo de la colaboración entre las Mutuas de Accidentes de Trabajo y Enfermedades Profesionales y la Seguridad Social es reducir la siniestralidad laboral, prevenir los accidentes de trabajo y enfermedades profesionales, y mejorar la salud y seguridad en el trabajo.",E1,1,ESPECÍFICO,La Seguridad Social en la Constitución,media,2026-01-09 10:03:14.354,2026-01-09 10:03:14.354,f,
cmk6pkd2t0002kn68d06dx3w4,cmjyrfy3a000gkno4nik6rcpf,¿Qué organismo es responsable de la gestión de las prestaciones de la Seguridad Social para los trabajadores por cuenta ajena?,"[""Instituto Nacional de la Seguridad Social"",""Tesorería General de la Seguridad Social"",""Ministerio de Trabajo y Economía Social"",""Mutuas de Accidentes de Trabajo y Enfermedades Profesionales""]",A,"El Instituto Nacional de la Seguridad Social es el organismo responsable de la gestión de las prestaciones de la Seguridad Social para los trabajadores por cuenta ajena, incluyendo la gestión de las prestaciones contributivas y no contributivas.",E1,1,ESPECÍFICO,La Seguridad Social en la Constitución,facil,2026-01-09 10:03:14.354,2026-01-09 10:03:14.354,f,
cmk6pkd2t0003kn68yj61i1b3,cmjyrfy3a000gkno4nik6rcpf,¿Qué organismo es responsable de la supervisión y control de la gestión de las Mutuas de Accidentes de Trabajo y Enfermedades Profesionales?,"[""Instituto Nacional de la Seguridad Social"",""Tesorería General de la Seguridad Social"",""Ministerio de Trabajo y Economía Social"",""Dirección General de Ordenación de la Seguridad Social""]",D,"La Dirección General de Ordenación de la Seguridad Social es el organismo responsable de la supervisión y control de la gestión de las Mutuas de Accidentes de Trabajo y Enfermedades Profesionales, asegurando el cumplimiento de la normativa y la correcta gestión de las prestaciones.",E1,1,ESPECÍFICO,La Seguridad Social en la Constitución,media,2026-01-09 10:03:14.354,2026-01-09 10:03:14.354,f,
cmk6pkd2t0004kn68d2kvl7st,cmjyrfy3a000gkno4nik6rcpf,¿Cuál es el propósito de la regulación de la colaboración voluntaria en la gestión de la Seguridad Social?,"[""Garantizar la igualdad de trato"",""Mejorar la eficiencia en la gestión de recursos"",""Reducir la burocracia administrativa"",""Facilitar la participación de los ciudadanos""]",B,"El propósito de la regulación de la colaboración voluntaria en la gestión de la Seguridad Social es mejorar la eficiencia en la gestión de recursos, permitiendo a las entidades colaboradoras contribuir a la gestión de las prestaciones y servicios de la Seguridad Social.",E1,1,ESPECÍFICO,La Seguridad Social en la Constitución,media,2026-01-09 10:03:14.354,2026-01-09 10:03:14.354,f,
cmk6pkd2t0005kn68qbw4fvgu,cmjyrfy3a000gkno4nik6rcpf,¿Qué tipo de prestación de la Seguridad Social se concede a las personas que padecen una enfermedad grave o crónica?,"[""Prestación por incapacidad temporal"",""Prestación por incapacidad permanente"",""Prestación por jubilación"",""Prestación por asistencia sanitaria""]",B,La prestación por incapacidad permanente es una de las prestaciones de la Seguridad Social que se concede a las personas que padecen una enfermedad grave o crónica y no pueden continuar trabajando.,E1,1,ESPECÍFICO,La Seguridad Social en la Constitución,facil,2026-01-09 10:03:14.354,2026-01-09 10:03:14.354,f,
cmk6pkd2t0006kn68taqrplkj,cmjyrfy3a000gkno4nik6rcpf,¿Cuál es el principio de la Seguridad Social que se refiere a la unidad y cohesión del sistema?,"[""Principio de solidaridad"",""Principio de universalidad"",""Principio de unidad"",""Principio de suficiencia""]",C,"El principio de unidad en la Seguridad Social se refiere a la unidad y cohesión del sistema, asegurando que todos los ciudadanos tengan acceso a las mismas prestaciones y servicios, y que el sistema sea gestionado de manera integral y coordinada.",E1,1,ESPECÍFICO,La Seguridad Social en la Constitución,media,2026-01-09 10:03:14.354,2026-01-09 10:03:14.354,f,
cmk6pkd2t0007kn683r645fyd,cmjyrfy3a000gkno4nik6rcpf,¿Cuál es el objetivo de la protección por desempleo en la Seguridad Social?,"[""Garantizar una renta mínima"",""Proporcionar asistencia sanitaria"",""Otorgar beneficios fiscales"",""Facilitar la reincorporación al mercado laboral""]",A,"El objetivo de la protección por desempleo en la Seguridad Social es garantizar una renta mínima a las personas que han perdido su empleo y cumplen determinados requisitos, asegurando así su bienestar y calidad de vida.",E1,1,ESPECÍFICO,La Seguridad Social en la Constitución,facil,2026-01-09 10:03:14.354,2026-01-09 10:03:14.354,f,
cmk6pkd2t0008kn68jvr9lib9,cmjyrfy3a000gkno4nik6rcpf,¿Qué tipo de prestación de la Seguridad Social se concede a las personas que han alcanzado la edad de jubilación y cumplen determinados requisitos?,"[""Prestación por jubilación"",""Prestación por incapacidad temporal"",""Prestación por incapacidad permanente"",""Prestación por desempleo""]",A,"La prestación por jubilación es una de las prestaciones de la Seguridad Social que se concede a las personas que han alcanzado la edad de jubilación y cumplen determinados requisitos, como haber cotizado durante un período mínimo.",E1,1,ESPECÍFICO,La Seguridad Social en la Constitución,facil,2026-01-09 10:03:14.354,2026-01-09 10:03:14.354,f,
cmk6pkd2t0009kn68oaawzzmd,cmjyrfy3a000gkno4nik6rcpf,¿Cuál es el fundamento constitucional de la Seguridad Social en España según el artículo 1 del Texto Refundido de la Ley General de la Seguridad Social?,"[""Artículo 1.1 de la Constitución Española"",""Artículo 14 de la Constitución Española"",""Artículo 43.1 de la Constitución Española"",""Artículo 50 de la Constitución Española""]",C,El artículo 43.1 de la Constitución Española establece que 'Se reconoce el derecho a la protección de la salud a través de medidas preventivas y de las prestaciones y servicios necesarios'. Este artículo sirve de base constitucional para el desarrollo de la Seguridad Social en España.,E1,1,ESPECÍFICO,La Seguridad Social en la Constitución,facil,2026-01-09 10:03:14.354,2026-01-09 10:03:14.354,f,
